"","distancia_centro_comercial","distancia_escuela","distancia_universidad","distancia_cesped","distancia_bosques","distancia_parque","distancia_cine","distancia_discoteca","distancia_transporte","geometry"
"53",489,519,1237,14055,4735,31011,44,53,1907,c(-74.04, 4.706)
"54",489,519,1237,14055,4735,31011,44,53,1907,c(-74.04, 4.706)
"55",140,4350,1221,13495,6308,1489,79,69,1962,c(-74.0461842, 4.7305228)
"56",198,318,1931,43993,6270,34453,31,50,967,c(-74.0319782495, 4.7572078964)
"57",486,3344,156,47066,1047,5831,44,53,68,c(-74.0372027, 4.6993055)
"58",626,2153,1151,46692,4898,19375,16,56,13,c(-74.0540215, 4.696038)
"59",295,6895,170,45208,4756,3455,44,62,874,c(-74.0483166, 4.7144697)
"60",289,415,170,27455,4755,3368,79,66,1925,c(-74.0436543, 4.7177616)
"61",18,1931,520,791,2426,15830,13,79,438,c(-74.087074, 4.642992)
"62",295,491,170,6386,4755,4912,44,66,874,c(-74.0471706, 4.7158063)
"63",1652,7928,114,26253,7986,16490,24,14,289,c(-74.118, 4.726)
"64",2691,400,439,21729,6589,8163,12,98,128,c(-74.1335926, 4.663438)
"65",175,2710,749,6375,3527,6026,14,54,129,c(-74.037, 4.687)
"66",789,718,1283,1207,16,4306,10,30,1367,c(-74.1011052, 4.6448115)
"67",529,7074,1219,6962,1151,10608,79,69,1951,c(-74.039, 4.728)
"68",1770,1064,1219,29867,4827,5153,32,69,153,c(-74.03, 4.725)
"69",420,3431,1219,6965,1151,31569,79,69,1942,c(-74.0378784, 4.7240566)
"70",2691,662,439,21702,8038,4268,12,98,128,c(-74.1378206, 4.6631197)
"71",1142,7815,2296,40619,3486,10500,27,141,383,c(-74.0729947, 4.6088158)
"72",1270,404,210,53198,6589,3207,12,101,454,c(-74.1200962, 4.6613759)
"73",658,839,1184,60733,4242,17594,9,120,2573,c(-74.1252941, 4.623341)
"74",636,3146,1151,62343,6394,9335,29,55,1906,c(-74.06, 4.706)
"75",1488,4629,1165,6391,47,35761,19,87,265,c(-74.116, 4.706)
"76",1770,7454,1219,29861,1150,5172,79,69,1962,c(-74.031, 4.728)
"77",208,7073,1396,60139,1150,21569,79,69,1971,c(-74.035, 4.732)
"78",445,3438,1153,17646,4879,715,33,54,2276,c(-74.049, 4.69)
"79",1061,3344,156,13575,4880,1977,44,53,68,c(-74.041, 4.698)
"80",489,7044,1237,49779,4736,32164,32,53,1914,c(-74.035, 4.709)
"81",198,1083,1927,59424,8409,31602,31,50,2026,c(-74.0389039, 4.7562815)
"82",2069,5384,1396,60139,1150,9374,79,69,1977,c(-74.033, 4.733)
"83",425,2162,170,49632,4758,1959,32,69,874,c(-74.0362429, 4.7141333)
"84",491,522,1237,13836,4735,31149,44,53,1907,c(-74.042, 4.707)
"85",489,6991,1241,14103,3568,1860,44,53,68,c(-74.031, 4.704)
"86",2056,983,1172,22098,4333,17123,27,143,1167,c(-74.0897512, 4.6199655)
"87",1119,2612,457,35567,6864,6283,66,49,1822,c(-74.0673619509, 4.6000543308)
"88",489,6991,1241,14102,3568,1860,44,53,68,c(-74.0307551622, 4.7038186241)
"89",560,3459,157,48105,6316,14721,16,64,1254,c(-74.0586856, 4.6851668)
"90",733,2309,750,60910,3544,34854,13,57,436,c(-74.078, 4.627)
"91",1119,1001,1066,40636,5713,11468,71,6,103,c(-74.06872, 4.604204)
"92",636,3146,1151,62343,6394,9335,29,55,1906,c(-74.06, 4.706)
"93",443,5385,166,15720,4852,2007,32,69,134,c(-74.03, 4.721)
"94",1119,1001,1066,40636,5713,11468,71,6,103,c(-74.06872, 4.604204)
"95",420,415,1219,45951,4755,31570,79,69,134,c(-74.039, 4.722)
"96",1574,679,1285,19683,6613,60,81,30,2353,c(-74.0996227, 4.6555085)
"97",112,5000,1335,24572,4241,8003,9,119,1276,c(-74.1295409203, 4.6064976032)
"98",486,3344,156,13562,1038,1977,44,53,68,c(-74.0395259857, 4.6976702941)
"99",294,6940,1221,1946,4755,4402,20,62,1928,c(-74.0495896339, 4.7201248012)
"100",289,490,1221,13528,4755,12885,79,66,1925,c(-74.0461948, 4.7187062)
"101",289,6934,1221,13528,4755,12885,79,66,134,c(-74.0462851524, 4.7192907896)
"102",198,1083,1927,59262,8409,31599,31,50,2026,c(-74.0378093719, 4.7562643377)
"103",491,522,1237,13836,4735,31011,44,53,1907,c(-74.0423154831, 4.7061389362)
"104",439,1056,167,15697,4851,8687,32,69,134,c(-74.0270912, 4.7179771)
"105",115,3344,156,2640,4880,1977,44,53,68,c(-74.0405988693, 4.6983760182)
"106",626,2153,1150,16373,4895,8940,16,56,490,c(-74.0546077849, 4.6948982652)
"107",625,3438,1152,13609,4880,11719,44,54,13,c(-74.0490102768, 4.6954675749)
"108",2070,4290,907,29397,6300,30349,79,50,404,c(-74.0301704407, 4.7455082117)
"109",1060,3344,1152,13578,4880,15528,44,54,1900,c(-74.0463709831, 4.69788415)
"110",1060,3344,1152,13578,4880,15528,44,54,1900,c(-74.0463709831, 4.69788415)
"111",1775,3421,1221,13502,4755,4742,79,69,1946,c(-74.0443968773, 4.7268396271)
"112",2357,6991,1238,15549,3566,1861,44,53,68,c(-74.032432, 4.703046)
"113",294,6938,1221,16541,4755,955,20,62,1925,c(-74.0507698059, 4.7200178767)
"114",625,3438,1152,13615,4880,11719,44,54,13,c(-74.0489244461, 4.6949970903)
"115",428,7074,1219,6965,1151,13885,79,69,1946,c(-74.0370687, 4.7252675)
"116",2070,417,932,58261,6300,13919,79,50,404,c(-74.0334963799, 4.7458289733)
"117",412,2710,1055,57795,3560,32424,14,54,129,c(-74.031, 4.692)
"118",294,6936,1221,13526,4755,9843,79,66,134,c(-74.048, 4.72)
"119",1690,519,1237,13836,4735,31011,44,53,1907,c(-74.041, 4.706)
"120",555,2162,1219,9048,1151,3586,32,69,134,c(-74.034, 4.723)
"121",412,2710,1055,57795,3560,32424,14,54,129,c(-74.031, 4.692)
"122",490,1315,1145,13534,4735,5053,44,53,1907,c(-74.046, 4.705)
"123",443,5385,166,46111,4826,5151,32,69,134,c(-74.031, 4.722)
"124",626,2153,1151,16375,4898,19375,16,56,13,c(-74.054, 4.696)
"125",292,3421,1221,13514,4755,1063,79,69,152,c(-74.044, 4.724)
"126",294,6940,1221,2002,4755,953,20,66,1928,c(-74.049, 4.72)
"127",1061,3344,156,13575,4880,1976,44,54,68,c(-74.041, 4.697)
"128",636,6831,1145,27540,4734,5060,44,53,1914,c(-74.049, 4.709)
"129",422,415,166,45951,1151,31565,32,69,134,c(-74.036, 4.721)
"130",636,6830,170,44778,4734,4914,44,55,1914,c(-74.05, 4.712)
"131",294,6940,1221,2002,4755,953,20,66,1928,c(-74.049, 4.72)
"132",294,6940,1221,2002,4755,953,20,66,1928,c(-74.049, 4.72)
"133",284,7058,1241,15638,3568,1862,32,53,68,c(-74.031, 4.708)
"134",626,3146,1145,13546,4881,973,44,53,400,c(-74.05, 4.701)
"135",443,2162,166,46112,4852,5181,32,69,134,c(-74.032, 4.718)
"136",79,2980,156,13554,1038,5806,14,54,68,c(-74.035, 4.696)
"137",295,6894,170,17302,4756,3453,20,62,874,c(-74.05, 4.715)
"138",422,415,1219,46310,1151,31567,32,69,134,c(-74.036, 4.722)
"139",1795,2645,1632,13763,3515,5720,14,54,66,c(-74.042, 4.689)
"140",515,194,1221,16632,6308,1486,79,66,1955,c(-74.048, 4.731)
"141",626,3146,1151,16399,4885,8536,44,55,1900,c(-74.054, 4.7)
"142",441,2162,166,46131,4826,5156,32,69,134,c(-74.034, 4.718)
"143",79,2980,156,57804,1038,5802,14,54,68,c(-74.0346099, 4.696085)
"144",289,490,170,27570,4755,12884,79,66,1925,c(-74.046, 4.718)
"145",489,522,1237,49692,4736,31141,44,53,1914,c(-74.04, 4.708)
"146",626,3146,1145,13591,4881,973,44,55,1900,c(-74.051, 4.7)
"147",636,6831,1145,27540,4734,5060,44,53,1907,c(-74.049, 4.708)
"148",441,2162,166,15520,4758,5146,32,69,134,c(-74.035, 4.715)
"149",284,556,168,15394,1042,1864,32,53,68,c(-74.028, 4.705)
"150",635,1315,1145,13538,4734,4979,44,53,1907,c(-74.048, 4.704)
"151",295,6894,170,17302,4756,3453,20,62,874,c(-74.05, 4.715)
"152",1770,7454,167,15741,4842,3588,32,69,1951,c(-74.026, 4.725)
"153",284,7058,1241,15408,3568,1867,32,53,68,c(-74.031, 4.707)
"154",531,7074,1219,29877,1150,21578,79,69,1964,c(-74.034, 4.73)
"155",489,6990,1237,14066,3566,1161,44,53,68,c(-74.036, 4.705)
"156",636,6831,1145,27540,4734,5060,44,53,1907,c(-74.049, 4.708)
"157",281,7044,169,49780,4737,32164,32,53,1914,c(-74.035, 4.71)
"158",489,6991,1241,14103,3568,1860,44,53,68,c(-74.031, 4.704)
"159",445,2645,1150,17648,4879,6113,33,51,2276,c(-74.052, 4.689)
"160",636,6833,1145,27540,4734,5048,44,55,1914,c(-74.05, 4.709)
"161",749,7342,156,15550,1047,3309,44,53,68,c(-74.035, 4.701)
"162",1061,3344,156,2640,4880,969,44,53,68,c(-74.041, 4.699)
"163",1795,3438,1153,13784,4880,661,14,54,66,c(-74.045, 4.691)
"164",439,1056,167,15697,4851,8687,32,69,134,c(-74.027, 4.718)
"165",384,1017,1173,57530,8178,5911,16,64,473,c(-74.0679385, 4.6873589)
"166",18,1709,69,19388,3801,12260,13,80,1912,c(-74.082, 4.644)
"167",586,1017,1173,68077,8178,5907,30,65,473,c(-74.07, 4.687)
"168",1095,3529,768,66103,5645,180,82,77,621,c(-74.068, 4.646)
"169",511,1570,1167,22005,8023,6158,12,86,293,c(-74.1438102722, 4.6839406105)
"170",511,1570,1167,22005,8023,6158,12,86,293,c(-74.1438102722, 4.6839406105)
"171",2691,400,439,21729,6589,8159,12,98,128,c(-74.1336768, 4.6640831)
"172",1977,405,439,21833,8038,4557,12,98,295,c(-74.130103, 4.6718717)
"173",1652,7928,114,40548,7986,16490,24,14,289,c(-74.1178028, 4.7263413)
"174",1273,681,210,19937,6589,17210,56,100,442,c(-74.1073159138, 4.6671452733)
"175",477,963,1051,9013,5422,2849,42,67,2714,c(-74.066, 4.725)
"176",478,2599,1415,17736,5423,7249,42,67,2714,c(-74.0708605, 4.7256364)
"177",477,588,1051,17810,5427,2736,42,67,2716,c(-74.0654874, 4.7270217)
"178",461,1101,1173,14259,6393,22190,16,56,2472,c(-74.067, 4.698)
"179",834,7430,1047,666,5435,2714,45,67,229,c(-74.0701421, 4.7315038)
"180",328,3415,1050,68955,5688,23940,29,70,234,c(-74.0762413, 4.7051924)
"181",346,2474,288,30039,6310,21890,29,55,231,c(-74.0663403, 4.7104518)
"182",1453,2474,288,63539,6310,35372,29,55,231,c(-74.0665053, 4.7111523)
"183",755,196,439,426,16,34532,62,107,1291,c(-74.1269182, 4.6360555)
"184",755,196,439,426,16,34532,62,107,1291,c(-74.1269182, 4.6360555)
"185",749,3344,156,4884,4735,5832,44,53,68,c(-74.04, 4.701)
"186",1795,3344,1632,13762,3515,1492,14,54,66,c(-74.042, 4.691)
"187",284,554,168,15651,1042,1067,32,53,68,c(-74.0290161, 4.7099371)
"188",1771,5384,1396,43804,1150,8337,79,69,1977,c(-74.0301468, 4.732631)
"189",1698,7589,1237,14068,1047,4385,44,53,68,c(-74.036, 4.703)
"190",626,3146,1145,16435,4881,971,44,55,400,c(-74.0520439, 4.7023363)
"191",295,494,170,45208,4756,4909,44,66,874,c(-74.048, 4.715)
"192",486,3344,156,47066,1047,5827,44,53,68,c(-74.037, 4.699)
"193",2246,6991,1055,1222,3566,3298,14,53,68,c(-74.029, 4.701)
"194",626,3439,1150,13617,4879,22194,16,56,1852,c(-74.053, 4.693)
"195",420,3431,1219,69237,4755,20757,79,69,134,c(-74.0408992767, 4.7224343665)
"196",626,2153,1151,13611,4879,724,44,56,13,c(-74.0522734, 4.6955171)
"197",1182,60,292,49226,4336,455,27,143,928,c(-74.094, 4.613)
"198",733,712,750,47924,3709,19896,13,140,1190,c(-74.0778328, 4.6301909)
"199",1273,6701,210,20129,6589,21630,54,100,443,c(-74.112818644, 4.6643673571)
"200",834,2599,1047,662,5429,2784,42,67,229,c(-74.071, 4.729)
"201",260,2001,177,3752,5692,4886,74,70,2599,c(-74.082696, 4.7022823)
"202",606,2001,177,13848,8280,4889,29,70,965,c(-74.0822959039, 4.7066113347)
"203",564,2474,288,17660,6311,5067,29,67,2534,c(-74.0692295403, 4.7156787161)
"204",606,2001,1048,53509,5698,29150,29,70,964,c(-74.0827843087, 4.7087343803)
"205",606,2001,1048,53509,5698,29150,29,70,964,c(-74.0827843087, 4.7087343803)
"206",600,2000,1186,50065,6238,17927,28,137,2417,c(-74.1652252, 4.6192602)
"207",490,6924,1145,13534,4735,5034,44,53,1907,c(-74.046, 4.706)
"208",247,1768,1397,40421,6307,1476,79,69,406,c(-74.043, 4.737)
"209",1087,415,170,27462,4755,3367,32,69,1925,c(-74.04, 4.716)
"210",636,6830,170,44778,4734,4914,44,55,1914,c(-74.05, 4.712)
"211",626,3438,1151,13616,4880,8936,44,54,490,c(-74.051, 4.695)
"212",1795,3438,1153,13784,4880,661,14,54,66,c(-74.045, 4.691)
"213",625,3344,1152,13578,4880,34298,44,53,400,c(-74.047, 4.7)
"214",489,522,1237,49692,4736,31141,44,53,1914,c(-74.04, 4.708)
"215",427,415,166,45951,4755,3366,32,69,134,c(-74.04, 4.72)
"216",427,415,170,27455,4755,1592,79,66,134,c(-74.043, 4.719)
"217",443,2162,166,46112,4852,5181,32,69,134,c(-74.032, 4.718)
"218",1060,3438,1152,13792,4880,10582,44,54,2276,c(-74.047189, 4.6927178)
"219",486,3344,156,47066,1047,5827,44,53,68,c(-74.037, 4.699)
"220",419,415,166,45951,4755,31570,32,69,134,c(-74.0377826337, 4.7191596399)
"221",1016,7876,1353,26646,6900,444,67,47,373,c(-74.076, 4.601)
"222",1206,3573,1640,10731,4336,16335,27,143,765,c(-74.091, 4.595)
"223",538,2701,436,40487,8037,4826,12,98,128,c(-74.147, 4.669)
"224",457,8048,1922,67461,7834,4107,74,8,186,c(-74.097, 4.69)
"225",691,1043,1051,61043,6311,21990,29,67,2691,c(-74.072, 4.718)
"226",636,3146,1151,62123,6402,9334,29,55,401,c(-74.0593408, 4.7049629)
"227",1608,2186,288,68532,6310,36722,29,70,2528,c(-74.072, 4.709)
"228",606,2186,1050,69001,5686,5971,29,70,2528,c(-74.077, 4.708)
"229",636,3146,1151,62343,6394,9335,29,55,1906,c(-74.06, 4.706)
"230",248,2269,1184,51436,5104,772,8,137,1692,c(-74.141, 4.632)
"231",427,415,170,27588,4755,3367,32,66,1925,c(-74.041617, 4.7165803)
"232",288,3423,1221,16608,4755,910,79,66,134,c(-74.0490317345, 4.7233111439)
"233",626,3146,1151,7099,4881,28748,44,55,1900,c(-74.0522959, 4.7008319)
"234",626,3146,1151,7097,4885,8536,44,55,1900,c(-74.0538873038, 4.6999240521)
"235",625,3344,1145,13590,4880,5576,44,53,1900,c(-74.0478286, 4.6990882)
"236",152,1001,396,10425,3492,5775,26,44,29,c(-74.0659565, 4.6103362)
"237",655,1625,2245,24544,4242,6649,9,117,1285,c(-74.1175947, 4.616002)
"238",720,1958,768,27720,3794,210,13,85,618,c(-74.070847, 4.6415852)
"239",1115,414,768,66095,3794,214,13,85,618,c(-74.0717749, 4.6438581)
"240",1256,716,20,69051,3863,5784,10,140,1320,c(-74.0973276, 4.6333528)
"241",19,2521,11,2636,5247,5763,13,140,1074,c(-74.0775633, 4.6382301)
"242",733,3286,1305,27832,5792,257,26,45,634,c(-74.0714381, 4.619271)
"243",137,220,1126,52359,8177,11548,21,46,1099,c(-74.0618251, 4.668027)
"244",558,4813,157,60735,8177,4412,16,64,550,c(-74.0609499, 4.6790252)
"245",720,5399,1794,27004,4857,10270,82,1,624,c(-74.0681469, 4.635451)
"246",1095,3529,768,68249,5645,180,13,144,621,c(-74.0690206, 4.6457371)
"247",6,2738,944,34049,8088,24252,47,65,1671,c(-74.078689, 4.6676622)
"248",1489,313,1165,986,8013,30960,19,86,2623,c(-74.1242287, 4.7013193)
"249",2259,479,1922,1278,8048,1602,83,10,2587,c(-74.1031810302, 4.690927569)
"250",1855,6668,76,7236,3908,5778,45,68,1988,c(-74.063466, 4.7431204)
"251",2126,3445,288,54156,5416,16500,20,67,1926,c(-74.0609778, 4.719291)
"252",288,3491,1221,17210,4755,950,20,62,1935,c(-74.0525826, 4.7224007)
"253",1297,1084,76,17894,3927,28158,45,50,2019,c(-74.064, 4.753)
"254",2197,7203,1381,46633,6442,7376,84,17,525,c(-74.1263744, 4.5903704)
"255",1292,3674,654,40790,4242,32291,84,112,1277,c(-74.1187668, 4.6074809)
"256",1123,1054,1316,45836,8231,12813,84,92,786,c(-74.1100482, 4.5808687)
"257",445,2645,1153,17644,4879,6113,33,54,2276,c(-74.0505063, 4.6889447)
"258",1060,3344,1152,13803,4880,15515,44,54,66,c(-74.0451499, 4.6962725)
"259",179,2980,156,13555,1038,1199,14,54,68,c(-74.0368742921, 4.6934362262)
"260",489,519,1237,14055,4735,31011,44,53,1907,c(-74.04, 4.706)
"261",489,519,1237,14055,4735,31011,44,53,1907,c(-74.04, 4.706)
"262",1795,3344,1152,13800,4880,1492,14,54,66,c(-74.0425574, 4.6915156)
"263",489,6991,1238,14085,3568,1861,44,53,68,c(-74.032, 4.704)
"264",176,3344,156,6686,3527,5750,14,54,68,c(-74.0392359, 4.6925433)
"265",441,2162,166,15520,4758,5146,32,69,134,c(-74.035, 4.715)
"266",288,3423,1221,13520,4755,11881,79,66,134,c(-74.0485117, 4.7231864)
"267",2065,416,932,58261,6300,13873,79,50,404,c(-74.0342473984, 4.7464491121)
"268",2070,417,932,61143,6300,13910,79,50,404,c(-74.033, 4.748)
"269",79,2980,156,13554,1038,5806,14,54,68,c(-74.036, 4.696)
"270",487,3344,1152,13828,4880,1973,44,53,400,c(-74.0454193, 4.7001636)
"271",2070,4289,932,29397,6300,17483,79,50,2009,c(-74.0326331, 4.7449458)
"272",1795,3344,1152,13801,4880,1491,14,54,66,c(-74.043431282, 4.692345262)
"273",564,3443,288,63999,6311,5028,29,67,2530,c(-74.065028429, 4.7133885252)
"274",529,3431,1219,6965,1151,17788,79,69,1943,c(-74.038753, 4.725092)
"275",626,2153,1151,13616,4879,724,44,56,490,c(-74.0521814, 4.6952381)
"276",295,6934,1221,13528,4755,12885,79,66,134,c(-74.046509, 4.719184)
"277",2069,5384,1396,60139,1150,9374,79,69,1977,c(-74.033, 4.733)
"278",1061,3344,156,13566,4880,5713,44,54,68,c(-74.0413695818, 4.6950837632)
"279",636,1317,1151,16486,4885,9358,44,55,1907,c(-74.0532831, 4.7049783)
"280",2246,1815,1055,14097,3568,3298,14,53,68,c(-74.028, 4.701)
"281",427,415,170,27455,4755,3368,32,66,1925,c(-74.042919, 4.717417)
"282",2246,1815,1055,14097,3568,3298,14,53,68,c(-74.028, 4.701)
"283",1795,3344,1152,13801,4880,1491,14,54,66,c(-74.0435799258, 4.6924116257)
"284",290,3428,1219,69234,4755,1593,79,66,134,c(-74.044, 4.72)
"285",2069,5384,1396,60139,1150,9374,79,69,1977,c(-74.033, 4.733)
"286",175,2980,156,6678,3527,5640,14,54,67,c(-74.037, 4.689)
"287",636,6922,1145,14020,4734,5032,44,55,1907,c(-74.0508736, 4.7073776)
"288",558,7337,157,59095,8177,4408,16,64,2446,c(-74.0641755, 4.6801121)
"289",789,718,1283,27176,16,4307,10,30,1345,c(-74.0996759, 4.6424565)
"290",582,1035,1173,27697,8178,29044,30,65,473,c(-74.0713066, 4.6854611)
"291",1256,2154,18,727,3860,13160,10,140,922,c(-74.0910252, 4.6330461)
"292",586,1017,1173,68077,8178,5907,30,65,473,c(-74.07, 4.687)
"293",1095,2936,983,6260,5593,364,82,36,614,c(-74.063051, 4.649258)
"294",137,4817,1125,26838,8177,11592,21,64,163,c(-74.0639021, 4.6752101)
"295",18,1899,145,43687,3794,134,13,79,1913,c(-74.0786935, 4.6416997)
"296",518,728,1283,1303,16,4612,10,30,1367,c(-74.1036844254, 4.6418944542)
"297",1270,3647,210,6581,6616,19708,1,101,454,c(-74.1196784, 4.6588241)
"298",162,756,210,21475,6616,16543,41,30,454,c(-74.1172877, 4.6558863)
"299",11,397,155,53780,6678,4669,83,106,421,c(-74.1057843, 4.6730599)
"300",1977,405,210,21792,8038,7465,12,98,300,c(-74.1269921, 4.670721)
"301",511,2126,1168,21990,8022,6130,12,86,293,c(-74.1413647636, 4.6824421943)
"302",5,672,1919,18923,6646,14938,47,103,2337,c(-74.0973916089, 4.679478432)
"303",834,2599,1047,17817,5428,2762,42,67,229,c(-74.0708882127, 4.727834152)
"304",477,588,1051,9012,5426,2825,42,67,2714,c(-74.064196, 4.726219)
"305",325,114,288,493,6393,21855,29,55,233,c(-74.069, 4.705)
"306",465,3000,1150,59216,6384,1958,16,56,2460,c(-74.062, 4.696)
"307",1073,1672,1221,29923,6304,11381,45,68,1957,c(-74.0578379, 4.7329265)
"308",1076,6668,76,60271,6303,35492,45,68,408,c(-74.056754, 4.7409422)
"309",204,743,74,32907,8408,21834,31,50,967,c(-74.046, 4.759)
"310",204,743,74,32907,8408,21834,31,50,2018,c(-74.0462749, 4.7588762)
"311",2655,5169,1166,55770,7939,20080,24,87,21,c(-74.1333326, 4.7245488)
"312",557,3004,1150,17435,6317,7329,16,56,1860,c(-74.0591761, 4.6929943)
"313",636,3146,1151,62343,6394,9335,29,55,1906,c(-74.06, 4.706)
"314",161,7954,1221,21014,6308,2174,79,68,1973,c(-74.053, 4.735)
"315",325,114,288,30103,6393,9954,29,55,233,c(-74.0692639711, 4.7055699298)
"316",478,588,1051,17807,5426,4393,42,67,2714,c(-74.067591, 4.726512)
"317",477,588,1051,9012,5426,2825,42,67,2714,c(-74.064196, 4.726219)
"318",1609,2474,288,30084,6310,36518,29,55,2529,c(-74.068062, 4.708547)
"319",1609,117,288,63098,6394,15499,29,55,233,c(-74.063208, 4.704719)
"320",248,498,1184,23789,5104,10506,17,137,722,c(-74.143, 4.63)
"321",401,1030,438,5530,5103,8614,28,137,1715,c(-74.151095, 4.640229)
"322",403,2948,438,45871,5103,31164,28,107,128,c(-74.144725, 4.648868)
"323",755,4476,1184,23530,5104,779,8,137,887,c(-74.139425, 4.634251)
"324",2655,5169,1166,55770,7940,28765,24,87,21,c(-74.1336071491, 4.7241344583)
"325",2655,3222,1166,45450,7940,30802,24,87,21,c(-74.128869, 4.719606)
"326",457,1031,1395,66785,7834,3647,74,10,2588,c(-74.09877, 4.697762)
"327",15,7813,1921,20192,8048,10901,83,10,303,c(-74.1071779, 4.6839196)
"328",457,1746,1395,66733,7834,3646,74,10,2584,c(-74.097674, 4.697047)
"329",2785,7506,1931,67940,8346,32774,31,50,967,c(-74.035, 4.762)
"330",489,6990,1237,14066,3566,1161,44,53,68,c(-74.036, 4.705)
"331",79,6991,1055,1221,1047,3298,14,53,68,c(-74.031, 4.701)
"332",489,519,1237,14055,4735,31011,44,53,1907,c(-74.04, 4.706)
"333",489,519,1237,14055,4735,31011,44,53,1907,c(-74.04, 4.706)
"334",2330,2980,156,57795,1039,19393,14,54,68,c(-74.032884, 4.6935564)
"335",284,549,168,15394,1042,1864,32,53,68,c(-74.026, 4.705)
"336",636,6831,1145,27540,4734,5060,44,53,1914,c(-74.049, 4.709)
